state,county,NAME,Sex by Age_Estimate!!Total: (B01001_001E),Sex by Age_Estimate!!Total:!!Male: (B01001_002E)
05,045,"Faulkner County, Arkansas",124611,60844
05,047,"Franklin County, Arkansas",17160,8427
05,049,"Fulton County, Arkansas",12183,6091
05,051,"Garland County, Arkansas",100021,48360
05,053,"Grant County, Arkansas",18022,9080
05,055,"Greene County, Arkansas",45954,22749
05,057,"Hempstead County, Arkansas",20037,9734
05,059,"Hot Spring County, Arkansas",33129,17621
05,061,"Howard County, Arkansas",12779,6099
05,063,"Independence County, Arkansas",37910,18947
05,065,"Izard County, Arkansas",13748,7294
05,067,"Jackson County, Arkansas",16784,8419
05,069,"Jefferson County, Arkansas",66934,33541
05,071,"Johnson County, Arkansas",25925,12974
05,073,"Lafayette County, Arkansas",6277,3218
05,075,"Lawrence County, Arkansas",16258,8130
05,077,"Lee County, Arkansas",8666,4882
05,079,"Lincoln County, Arkansas",13016,8335
05,081,"Little River County, Arkansas",12024,5849
05,083,"Logan County, Arkansas",21247,10501
05,085,"Lonoke County, Arkansas",74292,36875
05,087,"Madison County, Arkansas",16737,8474
05,089,"Marion County, Arkansas",16905,8389
05,091,"Miller County, Arkansas",42682,21257
05,093,"Mississippi County, Arkansas",40361,19837
05,095,"Monroe County, Arkansas",6787,3278
05,097,"Montgomery County, Arkansas",8555,4380
05,099,"Nevada County, Arkansas",8292,4058
05,101,"Newton County, Arkansas",7243,3724
05,103,"Ouachita County, Arkansas",22606,11039
05,105,"Perry County, Arkansas",10055,5182
05,107,"Phillips County, Arkansas",16373,7600
05,109,"Pike County, Arkansas",10205,5013
05,111,"Poinsett County, Arkansas",22997,11246
05,113,"Polk County, Arkansas",19384,9508
05,115,"Pope County, Arkansas",63475,31401
05,117,"Prairie County, Arkansas",8217,4128
05,119,"Pulaski County, Arkansas",398322,190970
05,121,"Randolph County, Arkansas",18619,9393
05,123,"St. Francis County, Arkansas",23138,12793
05,125,"Saline County, Arkansas",123988,60702
05,127,"Scott County, Arkansas",9871,5205
05,129,"Searcy County, Arkansas",7880,3944
05,131,"Sebastian County, Arkansas",128184,63156
05,133,"Sevier County, Arkansas",15913,7977
05,135,"Sharp County, Arkansas",17422,8559
05,137,"Stone County, Arkansas",12393,6105
05,139,"Union County, Arkansas",38815,18966
05,141,"Van Buren County, Arkansas",15900,7814
05,143,"Washington County, Arkansas",247331,124636
05,145,"White County, Arkansas",77118,37704
05,147,"Woodruff County, Arkansas",6259,3105
05,149,"Yell County, Arkansas",20342,10309
06,001,"Alameda County, California",1663823,826561
06,003,"Alpine County, California",1515,882
06,005,"Amador County, California",40577,22007
06,007,"Butte County, California",213605,106376
06,009,"Calaveras County, California",45674,22749
06,011,"Colusa County, California",21811,11112
06,013,"Contra Costa County, California",1162648,573074
06,015,"Del Norte County, California",27462,14809
06,017,"El Dorado County, California",191713,96045
06,019,"Fresno County, California",1008280,506526
06,021,"Glenn County, California",28657,14763
06,023,"Humboldt County, California",136132,67729
06,025,"Imperial County, California",179578,92430
06,027,"Inyo County, California",18829,9617
06,029,"Kern County, California",906883,464093
06,031,"Kings County, California",152515,84277
06,033,"Lake County, California",68024,34144
06,035,"Lassen County, California",31873,20127
06,037,"Los Angeles County, California",9936690,4937101
06,039,"Madera County, California",157243,77200
06,041,"Marin County, California",260485,127983
06,043,"Mariposa County, California",17130,8635
06,045,"Mendocino County, California",91145,45110
06,047,"Merced County, California",282290,143519
06,049,"Modoc County, California",8651,4205
06,051,"Mono County, California",13219,7279
06,053,"Monterey County, California",437609,223186
06,055,"Napa County, California",137384,68760
06,057,"Nevada County, California",102322,50630
06,059,"Orange County, California",3175227,1578013
06,061,"Placer County, California",406608,200326
06,063,"Plumas County, California",19650,10167
06,065,"Riverside County, California",2429487,1220393
06,067,"Sacramento County, California",1579211,779030
06,069,"San Benito County, California",64753,32844
06,071,"San Bernardino County, California",2180563,1094825
06,073,"San Diego County, California",3289701,1667851
06,075,"San Francisco County, California",851036,438093
06,077,"San Joaquin County, California",779445,391204
