state,county,NAME,Sex by Age_Estimate!!Total: (B01001_001E),Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total: (B17010_001E),Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family: (B17010_003E),Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!With related children of the householder under 18 years: (B17010_004E),"Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years: (B17010_011E)","Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present: (B17010_016E)","Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years: (B17010_017E)",Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family: (B17010_023E),Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!With related children of the householder under 18 years: (B17010_024E),"Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Male householder, no spouse present:!!With related children of the householder under 18 years: (B17010_031E)","Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present: (B17010_036E)","Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other family:!!Female householder, no spouse present:!!With related children of the householder under 18 years: (B17010_037E)",Family Type by Presence and Age of Own Children Under 18 Years_Estimate!!Total: (B11003_001E),Family Type by Presence and Age of Own Children Under 18 Years_Estimate!!Total:!!Married-couple family: (B11003_002E),Family Type by Presence and Age of Own Children Under 18 Years_Estimate!!Total:!!Married-couple family:!!With own children of the householder under 18 years: (B11003_003E),Family Type by Presence and Age of Related Children Under 18 Years_Estimate!!Total: (B11004_001E),Family Type by Presence and Age of Related Children Under 18 Years_Estimate!!Total:!!Married-couple family: (B11004_002E),Family Type by Presence and Age of Related Children Under 18 Years_Estimate!!Total:!!Married-couple family:!!With related children of the householder under 18 years: (B11004_003E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level: (B17017_002E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Married-couple family: (B17017_004E),"Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family:!!Female householder, no spouse present: (B17017_015E)",Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Family households:!!Other family: (B17017_009E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months below poverty level:!!Nonfamily households: (B17017_020E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level: (B17017_031E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Married-couple family: (B17017_033E),Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family: (B17017_038E),"Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Family households:!!Other family:!!Female householder, no spouse present: (B17017_044E)",Poverty Status in the Past 12 Months by Household Type by Age of Householder_Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Nonfamily households: (B17017_049E),Non-married-couple households below poverty level,Non-married-couple households at or above poverty level,Non-married households with 1+ kids below poverty level,Non-married households with 1+ kids at or above poverty level,% of Married Households Below Poverty Level,% of Non-Married Households Below Poverty Level,% of Married Households With 1+ Kids Below Poverty Level,% of Non-Married Households With 1+ Kids Below Poverty Level,Non-Married/Married Household Poverty Rate Difference,Non-Married Household With 1+ Kids/Married Household With 1+ Kids Poverty Rate Difference,Non-Married/Married Household Poverty Rate Ratio,Non-Married Household With 1+ Kids/Married Household With 1+ Kids Poverty Rate Ratio
01,001,"Autauga County, Alabama",58761,15363,707,321,50,509,393,11182,4931,404,2219,1088,15363,11889,5027,15363,11889,5252,2396,707,509,571,1118,19912,11182,2903,2219,5827,1689,8730,443,1492,5.9466733955757425,16.210768787791537,6.111957349581112,22.89405684754522,10.264095392215793,16.782099497964108,2.726023056832441,3.745781512875623
01,003,"Baldwin County, Alabama",233420,61277,1840,939,519,1888,1521,49179,17444,1393,5537,2962,61277,51019,16575,61277,51019,18383,10315,1840,1888,2473,6002,80487,49179,7785,5537,23523,8475,31308,2040,4355,3.6064995393872876,21.303069150139507,5.107980199096992,31.89992181391712,17.69656961075222,26.79194161482013,5.906854809624822,6.245114618799131
01,005,"Barbour County, Alabama",24877,5722,236,115,31,875,721,3195,1126,186,938,521,5722,3431,1089,5722,3431,1241,2169,236,875,957,976,6847,3195,1334,938,2318,1933,3652,752,707,6.878461090061207,34.61056401074306,9.26672038678485,51.54215215901302,27.732102920681854,42.275431772228174,5.031730725460146,5.56207050689871
01,007,"Bibb County, Alabama",22251,4871,226,154,69,449,426,3391,1136,213,305,225,4871,3617,1069,4871,3617,1290,1569,226,449,568,775,5647,3391,686,305,1570,1343,2256,495,438,6.24827204865911,37.31592108919144,11.937984496124031,53.054662379421224,31.06764904053233,41.11667788329719,5.97219852122148,4.444189251263206
01,009,"Blount County, Alabama",59077,15416,895,540,78,506,385,11171,4471,445,1853,1132,15416,12066,4415,15416,12066,5011,3469,895,506,674,1900,18157,11171,2676,1853,4310,2574,6986,463,1577,7.417536880490635,26.924686192468616,10.77629215725404,22.69607843137255,19.507149311977983,11.919786274118508,3.629868867020406,2.106112018881627
01,011,"Bullock County, Alabama",10328,2248,192,168,0,271,260,992,315,160,530,326,2248,1184,426,2248,1184,483,1000,192,271,304,504,2450,992,760,530,698,808,1458,260,486,16.216216216216218,35.65754633715799,34.78260869565217,34.852546916890084,19.44133012094177,0.06993822123791205,2.1988820241247424,1.00201072386059
01,013,"Butler County, Alabama",18981,4620,334,192,19,428,357,2907,890,72,755,417,4620,3241,907,4620,3241,1082,1372,334,428,474,564,5759,2907,905,755,1947,1038,2852,376,489,10.305461277383523,26.68380462724936,17.744916820702404,43.46820809248555,16.378343349865837,25.723291271783143,2.589287748410634,2.4496146435452792
01,015,"Calhoun County, Alabama",116162,28213,1214,737,260,2070,1725,17963,6151,1080,4540,2555,28213,19177,6316,28213,19177,6888,8256,1214,2070,2416,4626,36437,17963,6620,4540,11854,7042,18474,1985,3635,6.3305000782187,27.598369650415428,10.699767711962833,35.320284697508896,21.26786957219673,24.62051698554606,4.359587601202773,3.30103284934113
01,017,"Chambers County, Alabama",34612,8880,393,142,84,750,599,5382,2000,376,1467,542,8880,5775,1699,8880,5775,2142,2511,393,750,834,1284,10632,5382,2271,1467,2979,2118,5250,683,918,6.805194805194806,28.745928338762216,6.629318394024277,42.66083697688944,21.94073353356741,36.03151858286517,4.224115423825745,6.435176958063182
01,019,"Cherokee County, Alabama",25069,6609,492,219,38,274,217,4765,1497,209,657,222,6609,5257,1552,6609,5257,1716,1574,492,274,320,762,8423,4765,1032,657,2626,1082,3658,255,431,9.358949971466616,22.827004219409282,12.762237762237763,37.17201166180758,13.468054247942666,24.409773899569817,2.439056121573874,2.912656256240265
01,021,"Chilton County, Alabama",45140,12257,574,216,145,590,493,8488,3214,492,1607,659,12257,9062,3218,12257,9062,3430,2391,574,590,799,1018,14540,8488,2396,1607,3656,1817,6052,638,1151,6.3341425733833585,23.09060871775321,6.29737609329446,35.662381218557854,16.756466144369853,29.365005125263394,3.6454197944299582,5.6630540546135855
01,023,"Choctaw County, Alabama",12669,3246,138,69,15,343,320,2195,623,49,487,245,3246,2333,601,3246,2333,692,1112,138,343,374,600,4116,2195,539,487,1382,974,1921,335,294,5.915130732961852,33.64421416234888,9.971098265895954,53.25914149443561,27.72908342938703,43.28804322853966,5.687822582663764,5.341351581760788
01,025,"Clarke County, Alabama",23058,5181,267,111,72,381,365,3175,996,208,811,505,5181,3442,991,5181,3442,1107,1807,267,381,529,1011,6381,3175,1210,811,1996,1540,3206,437,713,7.757117954677513,32.448377581120944,10.02710027100271,38.0,24.691259626443433,27.97289972899729,4.183045529371472,3.7897297297297294
01,027,"Clay County, Alabama",14209,3934,238,86,19,261,189,2931,915,80,287,122,3934,3169,959,3934,3169,1001,1055,238,261,326,491,4430,2931,439,287,1060,817,1499,208,202,7.510255601136005,35.27633851468048,8.591408591408593,50.73170731707317,27.766082913544476,42.14029872566458,4.697088939202624,5.904934770277935
01,029,"Cleburne County, Alabama",15144,3834,61,21,88,123,104,2925,1014,35,504,230,3834,2986,863,3834,2986,1035,875,61,123,212,602,4886,2925,636,504,1325,814,1961,192,265,2.042866711319491,29.333333333333332,2.0289855072463765,42.01312910284464,27.29046662201384,39.98414359559826,14.358907103825135,20.706470772116287
