NAME,county,state,Total_Pop_2009,Total_Pop_2011,Total_Pop_2013,Total_Pop_2015,Total_Pop_2016,Total_Pop_2021,Total_Pop_25_to_29_2009,Total_Pop_25_to_29_2011,Total_Pop_25_to_29_2013,Total_Pop_25_to_29_2015,Total_Pop_25_to_29_2016,Total_Pop_25_to_29_2021,2009-2021 Total_Pop Change,2009-2021 Total_Pop % Change,2009-2021 Change Rank,2009-2021 Change Percentile,2009-2021 % Change Rank,2009-2021 % Change Percentile,2011-2021 Total_Pop Change,2011-2021 Total_Pop % Change,2011-2021 Change Rank,2011-2021 Change Percentile,2011-2021 % Change Rank,2011-2021 % Change Percentile,2013-2021 Total_Pop Change,2013-2021 Total_Pop % Change,2013-2021 Change Rank,2013-2021 Change Percentile,2013-2021 % Change Rank,2013-2021 % Change Percentile,2015-2021 Total_Pop Change,2015-2021 Total_Pop % Change,2015-2021 Change Rank,2015-2021 Change Percentile,2015-2021 % Change Rank,2015-2021 % Change Percentile,2016-2021 Total_Pop Change,2016-2021 Total_Pop % Change,2016-2021 Change Rank,2016-2021 Change Percentile,2016-2021 % Change Rank,2016-2021 % Change Percentile
"Gilchrist County, Florida",041,12,16771.0,16843.0,16917.0,16992.0,17033.0,17759.0,887.0,892.0,935.0,899.0,889.0,1016.0,988.0,5.891121578915981,1186.0,62.213010204081634,1014.0,67.69770408163265,916.0,5.4384610817550305,1038.0,66.942939113803,809.0,74.24290723621294,842.0,4.977241827747236,993.0,68.38750796685787,726.0,76.89611217335883,767.0,4.513888888888884,975.0,68.99076727156957,643.0,79.5606494746896,726.0,4.262314331004524,983.0,68.73607131486787,608.0,80.67494428525947
"Giles County, Tennessee",055,47,29075.0,29536.0,29214.0,28949.0,29034.0,30197.0,1512.0,1585.0,1553.0,1555.0,1623.0,1734.0,1122.0,3.8589853826311193,1137.0,63.775510204081634,1251.0,60.14030612244898,661.0,2.237946912242683,1109.0,64.67963021995537,1194.0,61.97003506534906,983.0,3.3648250838639093,956.0,69.5666029318037,932.0,70.33142128744423,1248.0,4.311029741960004,834.0,73.4797835084368,679.0,78.41451766953199,1163.0,4.005648549975893,830.0,73.60713148678765,661.0,78.9875835721108
"Giles County, Virginia",071,51,17193.0,17197.0,17111.0,16907.0,16871.0,16764.0,969.0,831.0,808.0,838.0,878.0,992.0,-429.0,-2.49520153550864,2290.0,27.00892857142857,2176.0,30.644132653061224,-433.0,-2.5178810257603046,2120.0,32.451386675167356,1974.0,37.105514823079375,-347.0,-2.0279352463327682,2043.0,34.92670490758445,1941.0,38.177182919056726,-143.0,-0.8458035133376729,1795.0,42.884431709646606,1759.0,44.03056351480421,-107.0,-0.6342244087487403,1787.0,43.1391276663483,1756.0,44.126074498567334
"Gillespie County, Texas",171,48,23488.0,24524.0,25003.0,25398.0,25732.0,26730.0,748.0,921.0,821.0,948.0,909.0,1123.0,3242.0,13.802792915531326,806.0,74.33035714285714,449.0,85.71428571428571,2206.0,8.995269939650964,801.0,74.49792795664648,517.0,83.55116353203698,1727.0,6.907171139463264,808.0,74.28298279158699,527.0,83.23773103887827,1332.0,5.244507441530821,820.0,73.92550143266476,545.0,82.68067494428526,998.0,3.8784392973729265,878.0,72.07895574657752,683.0,78.28716969118116
"Gilliam County, Oregon",021,41,1623.0,1873.0,1915.0,1883.0,1913.0,1954.0,60.0,110.0,71.0,51.0,41.0,64.0,331.0,20.394331484904505,1494.0,52.391581632653065,217.0,93.11224489795919,81.0,4.3246129204484784,1441.0,54.09627032196366,924.0,70.57698437998087,39.0,2.0365535248041855,1469.0,53.218610579987256,1142.0,63.63926067558955,71.0,3.770578863515661,1425.0,54.664119707099644,765.0,75.67653613498887,41.0,2.1432305279665442,1510.0,51.95797516714422,1036.0,67.0487106017192
"Gilmer County, Georgia",123,13,28381.0,28208.0,28308.0,28673.0,28956.0,31047.0,1754.0,1653.0,1500.0,1374.0,1337.0,1426.0,2666.0,9.393608399985908,875.0,72.13010204081633,709.0,77.4234693877551,2839.0,10.064520703346558,734.0,76.63372649027733,436.0,86.13324832642652,2739.0,9.675710046629927,677.0,78.45761631612493,341.0,89.16507329509241,2374.0,8.279566142363892,661.0,78.9875835721108,304.0,90.35339063992359,2091.0,7.221301284707837,674.0,78.57370264247055,304.0,90.35339063992359
"Gilmer County, West Virginia",021,54,6889.0,8522.0,8678.0,8644.0,8497.0,7516.0,392.0,598.0,681.0,591.0,604.0,455.0,627.0,9.101466105385402,1329.0,57.6530612244898,729.0,76.78571428571429,-1006.0,-11.80474067120394,2559.0,18.457124641377114,2980.0,5.03665922856232,-1162.0,-13.390182069601286,2672.0,14.882090503505419,3043.0,3.0592734225621414,-1128.0,-13.049514113836192,2720.0,13.43521171601401,3065.0,2.451448583253741,-981.0,-11.545251265152412,2719.0,13.46704871060172,3054.0,2.801655523718561
"Gilpin County, Colorado",047,08,5177.0,5241.0,5477.0,5605.0,5708.0,5812.0,169.0,194.0,251.0,192.0,209.0,290.0,635.0,12.265790998647862,1325.0,57.78061224489795,528.0,83.19515306122449,571.0,10.894867391719142,1143.0,63.59579215811285,393.0,87.50398469875678,335.0,6.116487127989778,1213.0,61.376673040152966,613.0,80.49713193116634,207.0,3.693131132917049,1296.0,58.77109200891436,775.0,75.35816618911176,104.0,1.8220042046250828,1421.0,54.79146768545049,1119.0,64.40624005093919
"Glacier County, Montana",035,30,13411.0,13329.0,13528.0,13672.0,13695.0,13827.0,843.0,815.0,834.0,887.0,892.0,910.0,416.0,3.101931250466028,1431.0,54.400510204081634,1344.0,57.17474489795919,498.0,3.736214269637639,1169.0,62.76697481670386,981.0,68.75996174689195,299.0,2.2102306327616894,1239.0,60.54811982154238,1111.0,64.62715105162525,155.0,1.1337039204212918,1340.0,57.37026424705508,1282.0,59.216809933142315,132.0,0.9638554216867545,1383.0,56.00127347978351,1329.0,57.7204711875199
"Glades County, Florida",043,12,11070.0,12684.0,13080.0,13272.0,13420.0,12183.0,737.0,759.0,790.0,901.0,841.0,532.0,1113.0,10.05420054200541,1140.0,63.67984693877551,649.0,79.33673469387756,-501.0,-3.9498580889309354,2192.0,30.15620019126554,2218.0,29.327382849856548,-897.0,-6.857798165137618,2549.0,18.80178457616316,2728.0,13.09751434034417,-1089.0,-8.205244122965638,2712.0,13.689907672715695,2913.0,7.290671760585801,-1237.0,-9.217585692995534,2816.0,10.378860235593761,2988.0,4.902897166507482
