Date,Day,Time,Time Zone,Wind (mph),Vis. (mi.),Weather,Sky Cond.,Air,Dwpt,Max.,Min.,Relative Humidity,Wind Chill (Â°F),Heat Index (Â°F),altimeter (in),sea level (mb),1 hr,3 hr,6 hr,Data Retrieval Date,Obs_Month,Obs_Year
2025-04-30,30,00:55,EDT,SW  10,10.00,Partly Cloudy,SCT065 SCT075 SCT110,71.6,57.2,,,61%,,,29.95,0.0,,,,2025-05-03,4,2025
2025-04-30,30,01:15,EDT,SW  9,10.00,Light Rain,SCT120,71.6,59,,,65%,,,29.97,0.0,,,,2025-05-03,4,2025
2025-04-30,30,01:35,EDT,W  20  G 32,10.00,Thunderstorm Light Rain,BKN060 BKN090 BKN120,69.8,59,,,69%,,,30.01,0.0,,,,2025-05-03,4,2025
2025-04-30,30,01:55,EDT,W  9,10.00,Thunderstorm Light Rain in Vicinity,SCT060 BKN095 OVC110,64.4,60.8,,,88%,,,30.02,0.0,,,,2025-05-03,4,2025
2025-04-30,30,02:15,EDT,SW  3,7.00,Rain,SCT090 OVC110,64.4,60.8,,,88%,,,30.01,0.0,,,,2025-05-03,4,2025
2025-04-30,30,02:35,EDT,SW  5,7.00,Rain,OVC110,62.6,60.8,,,94%,,,30.01,0.0,,,,2025-05-03,4,2025
2025-04-30,30,02:55,EDT,W  6,10.00,Light Rain,OVC110,62.6,60.8,,,94%,,,30,0.0,,,,2025-05-03,4,2025
2025-04-30,30,03:15,EDT,W  3,10.00,Partly Cloudy,SCT120,62.6,60.8,,,94%,,,29.99,0.0,,,,2025-05-03,4,2025
2025-04-30,30,03:35,EDT,W  5,10.00,Fair,CLR,62.6,60.8,,,94%,,,29.98,0.0,,,,2025-05-03,4,2025
2025-04-30,30,03:55,EDT,W  3,10.00,Fair,CLR,62.6,60.8,,,94%,,,29.98,0.0,,,,2025-05-03,4,2025
2025-04-30,30,04:15,EDT,W  6,10.00,Fair,CLR,62.6,59,,,88%,,,29.97,0.0,,,,2025-05-03,4,2025
2025-04-30,30,04:35,EDT,W  6,10.00,Fair,CLR,62.6,59,,,88%,,,29.97,0.0,,,,2025-05-03,4,2025
2025-04-30,30,04:55,EDT,W  5,10.00,Fair,CLR,64.4,59,,,83%,,,29.98,0.0,,,,2025-05-03,4,2025
2025-04-30,30,05:15,EDT,Calm,10.00,Fair,CLR,60.8,59,,,94%,,,29.99,0.0,,,,2025-05-03,4,2025
2025-04-30,30,05:35,EDT,NW  5,10.00,Fair,CLR,59,59,,,100%,,,29.99,0.0,,,,2025-05-03,4,2025
2025-04-30,30,05:55,EDT,S  5,5.00,Fog/Mist,CLR,59,57.2,,,94%,,,29.99,0.0,,,,2025-05-03,4,2025
2025-04-30,30,06:15,EDT,SW  3,10.00,Fair,CLR,60.8,59,,,94%,,,30,0.0,,,,2025-05-03,4,2025
2025-04-30,30,06:35,EDT,S  3,10.00,Partly Cloudy,SCT036,60.8,59,,,94%,,,30.01,0.0,,,,2025-05-03,4,2025
2025-04-30,30,06:55,EDT,SW  3,10.00,Partly Cloudy,SCT036,60.8,59,,,94%,,,30.02,0.0,,,,2025-05-03,4,2025
2025-04-30,30,07:15,EDT,SW  3,10.00,Fair,CLR,62.6,59,,,88%,,,30.02,0.0,,,,2025-05-03,4,2025
2025-04-30,30,07:35,EDT,W  6,10.00,Fair,CLR,62.6,60.8,,,94%,,,30.02,0.0,,,,2025-05-03,4,2025
2025-04-30,30,07:55,EDT,W  7,10.00,Fair,CLR,68,59,,,73%,,,30.02,0.0,,,,2025-05-03,4,2025
2025-04-30,30,08:15,EDT,W  5,10.00,Fair,CLR,68,59,,,73%,,,30.03,0.0,,,,2025-05-03,4,2025
2025-04-30,30,08:35,EDT,N  8,10.00,Partly Cloudy,SCT037,68,59,,,73%,,,30.04,0.0,,,,2025-05-03,4,2025
2025-04-30,30,08:55,EDT,NW  15  G 21,10.00,Partly Cloudy,SCT036 SCT090,68,59,,,73%,,,30.05,0.0,,,,2025-05-03,4,2025
2025-04-30,30,09:15,EDT,NW  16  G 20,10.00,Fair,CLR,68,59,,,73%,,,30.04,0.0,,,,2025-05-03,4,2025
2025-04-30,30,09:35,EDT,NW  13  G 22,10.00,Fair,CLR,68,59,,,73%,,,30.05,0.0,,,,2025-05-03,4,2025
2025-04-30,30,09:55,EDT,NW  10,10.00,Fair,CLR,68,59,,,73%,,,30.06,0.0,,,,2025-05-03,4,2025
2025-04-30,30,10:15,EDT,NW  9  G 17,10.00,Fair,CLR,68,57.2,,,69%,,,30.06,0.0,,,,2025-05-03,4,2025
2025-04-30,30,10:35,EDT,NW  10,10.00,Partly Cloudy,SCT042,69.8,59,,,69%,,,30.06,0.0,,,,2025-05-03,4,2025
2025-04-30,30,10:55,EDT,NW  13  G 16,10.00,Partly Cloudy,SCT042 SCT050,68,59,,,73%,,,30.06,0.0,,,,2025-05-03,4,2025
2025-04-30,30,11:15,EDT,NW  9,10.00,Partly Cloudy,SCT032 SCT042 SCT048,71.6,59,,,65%,,,30.06,0.0,,,,2025-05-03,4,2025
2025-04-30,30,11:35,EDT,W  13  G 16,10.00,Partly Cloudy,SCT032 SCT038,71.6,59,,,65%,,,30.06,0.0,,,,2025-05-03,4,2025
2025-04-30,30,11:55,EDT,W  13  G 16,10.00,Mostly Cloudy,BKN038 BKN044,71.6,57.2,,,61%,,,30.06,0.0,,,,2025-05-03,4,2025
2025-04-30,30,12:15,EDT,NW  16  G 21,10.00,Mostly Cloudy,SCT039 BKN045,73.4,57.2,,,57%,,,30.06,0.0,,,,2025-05-03,4,2025
2025-04-30,30,12:35,EDT,NW  9  G 13,10.00,Partly Cloudy,SCT043 SCT065,73.4,55.4,,,53%,,,30.05,0.0,,,,2025-05-03,4,2025
2025-04-30,30,12:55,EDT,NW  12  G 20,10.00,Mostly Cloudy,SCT045 BKN055,73.4,55.4,,,53%,,,30.05,0.0,,,,2025-05-03,4,2025
2025-04-30,30,13:15,EDT,NW  14  G 17,10.00,Overcast,OVC050,73.4,55.4,,,53%,,,30.04,0.0,,,,2025-05-03,4,2025
2025-04-30,30,13:35,EDT,NW  16  G 25,10.00,Mostly Cloudy,BKN050 BKN065,77,55.4,,,47%,,79,30.04,0.0,,,,2025-05-03,4,2025
2025-04-30,30,13:55,EDT,NW  14  G 17,10.00,Partly Cloudy,SCT050 SCT065,77,55.4,,,47%,,79,30.04,0.0,,,,2025-05-03,4,2025
2025-04-30,30,14:15,EDT,NW  12  G 18,10.00,Partly Cloudy,SCT050 SCT060,78.8,55.4,,,45%,,79,30.03,0.0,,,,2025-05-03,4,2025
2025-04-30,30,14:35,EDT,NW  14  G 18,10.00,Partly Cloudy,SCT050,78.8,55.4,,,45%,,79,30.03,0.0,,,,2025-05-03,4,2025
2025-04-30,30,14:55,EDT,W  16  G 23,10.00,Fair,CLR,78.8,53.6,,,42%,,79,30.03,0.0,,,,2025-05-03,4,2025
2025-04-30,30,15:15,EDT,NW  9  G 18,10.00,Fair,CLR,78.8,53.6,,,42%,,79,30.02,0.0,,,,2025-05-03,4,2025
2025-04-30,30,15:35,EDT,W  16  G 23,10.00,Fair,CLR,78.8,53.6,,,42%,,79,30.02,0.0,,,,2025-05-03,4,2025
2025-04-30,30,15:55,EDT,NW  15  G 21,10.00,Fair,CLR,78.8,53.6,,,42%,,79,30.01,0.0,,,,2025-05-03,4,2025
2025-04-30,30,16:15,EDT,NW  13,10.00,Fair,CLR,78.8,51.8,,,39%,,79,30.01,0.0,,,,2025-05-03,4,2025
2025-04-30,30,16:35,EDT,NW  13  G 18,10.00,Fair,CLR,78.8,53.6,,,42%,,79,30.01,0.0,,,,2025-05-03,4,2025
2025-04-30,30,16:55,EDT,NW  12  G 18,10.00,Fair,CLR,78.8,51.8,,,39%,,79,30,0.0,,,,2025-05-03,4,2025
2025-04-30,30,17:15,EDT,N  9,10.00,Fair,CLR,78.8,51.8,,,39%,,79,30,0.0,,,,2025-05-03,4,2025
2025-04-30,30,17:35,EDT,N  7,10.00,Fair,CLR,78.8,51.8,,,39%,,79,30.01,0.0,,,,2025-05-03,4,2025
2025-04-30,30,17:55,EDT,NW  10,10.00,Fair,CLR,78.8,51.8,,,39%,,79,30.01,0.0,,,,2025-05-03,4,2025
2025-04-30,30,18:15,EDT,NW  7  G 18,10.00,Fair,CLR,77,51.8,,,42%,,78,30.01,0.0,,,,2025-05-03,4,2025
2025-04-30,30,18:35,EDT,NW  8  G 18,10.00,Fair,CLR,77,51.8,,,42%,,78,30.01,0.0,,,,2025-05-03,4,2025
2025-04-30,30,18:55,EDT,N  5,10.00,Fair,CLR,77,51.8,,,42%,,78,30.02,0.0,,,,2025-05-03,4,2025
2025-04-30,30,19:15,EDT,N  6,10.00,Fair,CLR,75.2,51.8,,,44%,,78,30.02,0.0,,,,2025-05-03,4,2025
2025-04-30,30,19:35,EDT,N  3,10.00,Fair,CLR,75.2,50,,,41%,,78,30.02,0.0,,,,2025-05-03,4,2025
2025-04-30,30,19:55,EDT,NW  5,10.00,Fair,CLR,73.4,50,,,44%,,,30.03,0.0,,,,2025-05-03,4,2025
2025-04-30,30,20:15,EDT,Calm,10.00,Fair,CLR,73.4,50,,,44%,,,30.03,0.0,,,,2025-05-03,4,2025
2025-04-30,30,20:35,EDT,N  3,10.00,Fair,CLR,69.8,50,,,50%,,,30.04,0.0,,,,2025-05-03,4,2025
2025-04-30,30,20:55,EDT,N  3,10.00,Fair,CLR,68,50,,,53%,,,30.05,0.0,,,,2025-05-03,4,2025
